Sentence#,Main-Line#,Sub-Line#,Word,POS,Tag
24,2,1,ಕೋವಿಡ್,N_NNP,NEA
24,2,2,-,RD_SYM,NEA
24,2,3,19,QT_QTC,NEA
24,3,0,ಮಹಾಮಾರಿಯಂತಹ,N_NN,O
24,4,0,ದಶಕದ,N_NN,O
24,5,0,ಅತಿದೊಡ್ಡ,JJ,O
24,6,0,ಅಸಾಂಪ್ರದಾಯಿಕವಾದ,JJ,O
24,7,0,ಅಪಾಯವನ್ನು,N_NN,O
24,8,0,ಜಗತ್ತು,N_NN,O
24,9,0,ಎದುರಿಸಿದೆ,V_VM_VF,O
24,10,0,.,RD_PUNC,O
25,1,0,ಪ್ರತಿಕ್ರಿಯೆಯಾಗಿ,RB,O
25,2,0,",",RD_PUNC,O
25,3,1,ಭಾರತ,N_NNP,NEL
25,4,0,ಮತ್ತು,CC_CCD,O
25,5,1,ಫ್ರಾನ್ಸ್,N_NNP,NEL
25,6,0,ಸಮನ್ವಯ,N_NN,O
25,7,0,ಮತ್ತು,CC_CCD,O
25,8,0,ಸಹಯೋಗದಲ್ಲಿ,N_NN,O
25,9,0,ಕೆಲಸ,N_NN,O
25,10,0,ಮಾಡಿದವು,V_VM_VNF,O
25,11,0,",",RD_PUNC,O
25,12,0,ಕಷ್ಟದ,N_NN,O
25,13,0,ಸಮಯದಲ್ಲಿ,N_NN,O
25,14,0,ಪರಸ್ಪರ,PR_PRC,O
25,15,0,ಸಹಾಯ,N_NN,O
25,16,0,ಮಾಡಿದವು,V_VM_VF,O
25,17,0,",",RD_PUNC,O
25,18,0,ಜೊತೆಯಲ್ಲಿಯೇ,N_NN,O
25,19,0,ಮಹಾಮಾರಿಯ,N_NN,O
25,20,0,ಜೊತೆಗೆ,PSP,O
25,21,0,ಹೋರಾಡಲು,V_VM_VINF,O
25,22,0,ಜಾಗತಿಕ,JJ,O
25,23,0,ಪ್ರಯತ್ನಗಳಿಗೆ,N_NN,O
25,24,0,ಸಹ,RP_RPD,O
25,25,0,ಕೊಡುಗೆ,N_NN,O
25,26,0,ನೀಡಿವೆ,V_VM_VF,O
25,27,0,",",RD_PUNC,O
25,28,0,ಅದು,PR_PRP,O
25,29,0,ಹಣಕಾಸಿನ,N_NN,O
25,30,0,ನೆರವಿನ,N_NN,O
25,31,0,ರೂಪದಲ್ಲಿ,N_NN,O
25,32,0,ಆಗಿರಬಹುದು,V_VM_VF,O
25,33,0,ಅಥವಾ,CC_CCD,O
25,34,0,ಜೀವ,N_NN,O
25,35,0,ಉಳಿಸುವ,V_VM_VNF,O
25,36,0,ಔಷಧಿಗಳು,N_NN,O
25,37,0,ಆಗಿರಬಹುದು,V_VM_VF,O
25,38,0,",",RD_PUNC,O
25,39,0,ವಿಶೇಷವಾಗಿ,JJ,O
25,40,0,ಲಸಿಕೆಗಳ,N_NN,O
25,41,0,ಪೂರೈಕೆಯ,N_NN,O
25,42,0,ಮೂಲಕ,RP_RPD,O
25,43,0,.,RD_PUNC,O
26,1,1,6,QT_QTC,NEN
26,2,1,ಫ್ರಾನ್ಸ್,N_NN,NEL
26,3,0,ವರ್ತಮಾನದಲ್ಲಿ,N_NN,O
26,4,1,ಯುರೋಪಿಯನ್,N_NNP,NEO
26,4,2,ಒಕ್ಕೂಟದ,N_NN,NEO
26,5,0,ಪರಿಷತ್,N_NNP,O
26,6,0,ನ,PSP,O
26,7,0,ಅಧ್ಯಕ್ಷ,N_NN,O
26,8,0,ಮತ್ತು,CC_CCD,O
26,9,0,ಪ್ರಸ್ತುತ,JJ,O
26,10,0,ವಿಪತ್ತಿನ,N_NN,O
26,11,0,ಸಂದರ್ಭದಲ್ಲಿ,N_NN,O
26,12,1,ಯುರೋಪ್,N_NNP,NEL
26,13,0,ಅನ್ನು,PSP,O
26,14,0,ಮುನ್ನಡೆಸುವಲ್ಲಿ,V_VM_VNF,O
26,15,0,ನಾಯಕತ್ವದ,N_NN,O
26,16,0,ಪಾತ್ರವನ್ನು,N_NN,O
26,17,0,ವಹಿಸುತ್ತಿದೆ,V_VM_VF,O
26,18,0,",",RD_PUNC,O
26,19,0,ಅದೇ,PR_PRP,O
26,20,0,ಸಮಯದಲ್ಲಿ,N_NN,O
26,21,1,ಇಂಡೋ,N_NN,NEL
26,22,0,-,RD_SYM,O
26,23,1,ಪೆಸಿಫಿಕ್,N_NN,NEL
26,24,0,ಮೇಲೆ,N_NST,O
26,25,1,ಯುರೋಪ್ನ,N_NNP,NEL
26,26,0,ಗಮನವನ್ನು,N_NN,O
26,27,0,ಸಹ,RP_RPD,O
26,28,0,ಬಲಪಡಿಸುತ್ತದೆ,V_VM_VF,O
26,29,0,.,RD_PUNC,O
27,1,0,ಈ,DM_DMD,O
27,2,0,ಸಂದರ್ಭದಲ್ಲಿ,N_NN,O
27,3,0,",",RD_PUNC,O
27,4,0,ಕಳೆದ,V_VM_VNF,O
27,5,0,ತಿಂಗಳು,N_NN,O
27,6,1,ಇಂಡೋ,N_NNP,NEL
27,7,0,-,RD_SYM,O
27,8,1,ಪೆಸಿಫಿಕ್ನಲ್ಲಿ,N_NN,NEL
27,9,0,ಸಹಕಾರಕ್ಕಾಗಿ,N_NN,O
27,10,1,ಯುರೋಪಿಯನ್,N_NNP,NEO
27,10,2,ಒಕ್ಕೂಟವು,N_NN,NEO
27,11,0,ಸಚಿವರ,N_NN,O
27,12,0,ವೇದಿಕೆಯನ್ನು,N_NN,O
27,13,0,ಆಯೋಜಿಸಲು,V_VM_VINF,O
27,14,1,ಫ್ರಾನ್ಸೇಸ್,N_NNP,NEL
27,15,0,ಉಪಕ್ರಮವನ್ನು,N_NN,O
27,16,0,ನಾವು,PR_PRP,O
27,17,0,ಪ್ರಶಂಸಿಸುತ್ತೇವೆ,V_VM_VF,O
27,18,0,.,RD_PUNC,O
28,1,0,ಸಹಯೋಗಕ್ಕಾಗಿ,N_NN,O
28,2,0,ಒಂದು,QT_QTC,O
28,3,0,ಹಂಚಿಕೆಯ,N_NN,O
28,4,0,ದೃಷ್ಟಿಕೋನ,N_NN,O
28,5,0,ಮತ್ತು,CC_CCD,O
28,6,0,ಕಾರ್ಯತಂತ್ರವನ್ನು,N_NN,O
28,7,0,ತಯಾರಿಸಲು,V_VM_VINF,O
28,8,1,ಯುರೋಪಿಯನ್,N_NNP,NEO
28,8,2,ಒಕ್ಕೂಟ,N_NN,NEO
28,9,0,ಮತ್ತು,CC_CCD,O
28,10,1,ಭಾರತ,N_NNP,NEL
28,11,0,-,RD_SYM,O
28,12,1,ಪೆಸಿಫಿಕ್,N_NN,NEL
28,13,0,ದೇಶಗಳಿಗೆ,N_NN,O
28,14,0,ಇದು,PR_PRP,O
28,15,0,ಒಂದು,QT_QTC,O
28,16,0,ಅನನ್ಯ,JJ,O
28,17,0,ಅವಕಾಶ,N_NN,O
28,18,0,ಆಗಿದೆ,V_VM_VF,O
28,19,0,.,RD_PUNC,O
29,1,1,ಯುರೋಪಿಯನ್,N_NNP,NEO
29,1,2,ಒಕ್ಕೂಟ,N_NN,NEO
29,1,3,ಪರಿಷತ್,N_NN,NEO
29,2,0,ನ,PSP,O
29,3,1,ಫ್ರಾನ್ಸೇಸ್,N_NNP,NEL
29,4,0,ಅಧ್ಯಕ್ಷತೆಯ,N_NN,O
29,5,0,ಅಡಿಯಲ್ಲಿ,N_NN,O
29,6,1,ಭಾರತ,N_NNP,NEL
29,7,0,-,RD_SYM,O
29,8,1,ಯುರೋಪಿಯನ್,N_NNP,NEO
29,8,2,ಒಕ್ಕೂಟದ,N_NN,NEO
29,9,1,ಎಫ್ಟಿಎ,N_NN,NEA
29,10,0,ಕುರಿತು,RP_RPD,O
29,11,0,ಮಾತುಕತೆಗಳ,N_NN,O
29,12,0,ಪುನರಾರಂಭಕ್ಕೂ,N_NN,O
29,13,0,ನಾವು,PR_PRP,O
29,14,0,ಎದುರು,N_NST,O
29,15,0,ನೋಡುತ್ತಿದ್ದೇವೆ,V_VM_VF,O
29,16,0,.,RD_PUNC,O
30,1,1,7,QT_QTC,NEN
30,2,1,ಭಾರತ,N_NN,NEL
30,3,0,ಮತ್ತು,CC_CCD,O
30,4,1,ಫ್ರಾನ್ಸ್,N_NNP,NEL
30,5,0,,RD_SYM,O
30,6,0,ಪ್ರಮುಖ,JJ,O
30,7,0,ಸಾಂಪ್ರದಾಯಿಕ,N_NN,O
30,8,0,ಮತ್ತು,CC_CCD,O
